Statement,Assigned tag,generated response
convicted for an offence punishable under Sections 148 and 302,homicide_murder, homicide_murder 
"The High Court also held that the case of the accused is covered under Clause (4) of Section 300 of IPC and, therefore, passed an order of conviction of the appellant under Section 302 IPC for murder",homicide_murder, homicide_murder 
conviction and sentence under Section 302,homicide_murder, homicide_murder 
charge under Section 302 read with Section 34 of the IPC and convicted all of them under the aforesaid sections.,homicide_murder, homicide_murder 
"three sons Kulwant Singh, Gurmit Singh and Mangal Singh were tried on charges under Sections 302",homicide_murder, homicide_murder 
appeal is held devoid of any merit and is dismissed,homicide_murder, Others 
Kulwant Singh was held guilty under Sections 302,homicide_murder, homicide_murder 
respondents herein were convicted for the offences punishable under Section 302,homicide_murder, homicide_murder 
The trial court after a very careful consideration and meticulous discussion of the evidence on record found that the prosecution case was proved beyond reasonable doubt and accordingly convicted the respondents under s. 302,homicide_murder, evidence_inconsistency 
The respondents were convicted and sentenced under 8.,homicide_murder, Others 
charged for committing an offence under Sections 302,homicide_murder, homicide_murder 
Respondent Shera Ram @ Vishnu Dutta was charged for committing an offence under Sections 302,homicide_murder, homicide_murder 
conviction of the appellants under Section 302,homicide_murder, homicide_murder 
FIR was registered in Case No.12 of 2002 under Section 302,homicide_murder, homicide_murder 
"After investigation, chargesheet was filed against the appellants and other accused under Section 302",homicide_murder, homicide_murder 
appellants were rightly convicted under Section 302,homicide_murder, homicide_murder 
In that case Raghbir and Mani 729 Ram were charged under s. 302 read with s. 34 of the Indian Penal Code for having caused the death of Sahi Ram and Sultan and Dalip were charged under s. 302 read with s. 109 of the same Code in the same connection.,homicide_murder, homicide_murder 
appellant has been convicted under Section 302 IPC for causing death of Balwant Kaur,homicide_murder, homicide_murder 
we are of the view that the High Court was right in confirming the conviction of the appellant,homicide_murder, Others 
The appellant has been convicted under Section 302 IPC for causing death of Balwant Kaur.,homicide_murder, homicide_murder 
sentencing the appellant to imprisonment for life.,life_imprisonment, life_imprisonment 
Raghubir Singh and Joginder Singh were sentenced to undergo life imprisonment,life_imprisonment, life_imprisonment 
sentenced them to rigorous imprison- ment for life each.,life_imprisonment, life_imprisonment 
sentenced to suffer imprisonment for life,life_imprisonment, life_imprisonment 
suffer imprisonment for life,life_imprisonment, life_imprisonment 
Mukhtiyar and Asif have been sentenced to death whereas accused Raziulla life imprisonment.,life_imprisonment, physical_assault 
In our view the evidence in this case is.,life_imprisonment, evidence_inconsistency 
- sufficient to justify the conviction of the accused for an offence of murder.,life_imprisonment, homicide_murder 
"We, accordingly set aside the judgment of acquittal of the High Court, convict the accused under Sec.",life_imprisonment, homicide_murder 
302 and sentence him to life imprisonment.,life_imprisonment, life_imprisonment 
sentence him to life imprisonment.,life_imprisonment, life_imprisonment 
sentenced to undergo life imprisonment,life_imprisonment, life_imprisonment 
sentenced them to imprisonment for life,life_imprisonment, life_imprisonment 
The instant case is one where a person whose death sentence has been substituted to life imprisonment,life_imprisonment, life_imprisonment 
it shall be ensured that the respondent will first serve the term of life imprisonment,life_imprisonment, life_imprisonment 
