Statement,Assigned tag,generated response
convicted for an offence punishable under Sections 148 and 302,homicide_murder,homicide_murder
the appellant Vineet Kumar Chauhan has been convicted under Section 302,homicide_murder,homicide_murder
The conviction U/s 302 of IPC was confirmed by the Aurangabad Bench of the High Court,homicide_murder,homicide_murder
"held the appellant responsible for the same, principally on the basis of her dying declarations, and convicted him for cruelty and murder under Sections 498-A and 302",homicide_murder,homicide_murder
"Suffice it to state here that the appellants, apart from other offences were convicted under Section 302",homicide_murder,homicide_murder
High Court was justified in convicting the appellants under Section 302,homicide_murder,homicide_murder
consequent thereto convicting her under Section 302,homicide_murder,homicide_murder
the appellant was charge- sheeted for the offence punishable under section 302 of IPC,homicide_murder,homicide_murder
"The High Court also held that the case of the accused is covered under Clause (4) of Section 300 of IPC and, therefore, passed an order of conviction of the appellant under Section 302 IPC for murder",homicide_murder,homicide_murder
conviction and sentence under Section 302,homicide_murder,homicide_murder
charge under Section 302 read with Section 34 of the IPC and convicted all of them under the aforesaid sections.,homicide_murder,homicide_murder
"three sons Kulwant Singh, Gurmit Singh and Mangal Singh were tried on charges under Sections 302",homicide_murder,homicide_murder
appeal is held devoid of any merit and is dismissed,homicide_murder,others
sentencing the appellant to imprisonment for life.,life_imprisonment,life_imprisonment
Raghubir Singh and Joginder Singh were sentenced to undergo life imprisonment,life_imprisonment,life_imprisonment
sentenced them to rigorous imprison- ment for life each.,life_imprisonment,life_imprisonment
"sentence dated April 12, 2008 sentencing them for life imprisonment",life_imprisonment,life_imprisonment
sentenced them to undergo imprisonment for life.,life_imprisonment,life_imprisonment
sentencing him to imprisonment for life,life_imprisonment,life_imprisonment
sentenced for life imprisonment,life_imprisonment,life_imprisonment
were sentenced for life imprisonment.,life_imprisonment,life_imprisonment
they were sentenced to suffer imprisonment for life,life_imprisonment,life_imprisonment
sentenced to suffer imprisonment for life,life_imprisonment,life_imprisonment
sentenced each of them to suffer imprisonment for life and further convicted the first two appellants,life_imprisonment,life_imprisonment
suffer imprisonment for life,life_imprisonment,life_imprisonment
Mukhtiyar and Asif have been sentenced to death whereas accused Raziulla life imprisonment.,life_imprisonment,life_imprisonment
"The northern route, previously mentioned, was certainly shorter to reach the public passage, but that route, along with the longer portion of the public passage to be covered before reaching the spot near which the incident took place, was longer than the westerly route through the field which the party had taken.",riot,others
"When several persons are armed with lathis and one of them is armed with a hatchet and are agreed to use these weapons in case they are thwarted in the achievement of their object, it is by no means incorrect to conclude that they were prepared to use violence in prosecution of their common object",riot,riot
Moradabad for rioting,riot,riot
"'the respondent Bira Singh was a member of the unlawful assembly which was formed between 3 and 5 p.m. on 25th April 1960, in contravention of the promulgation of the order under s. 144 of the Code of Criminal Procedure.",riot,riot
As a member of the mob he was alleged to have pelted Stones at police officers,riot,riot
"In that complaint the District Magistrate alleged that the respondent had disobeyed the order passed under s. 144 by forming himself alongwith other persons into an unlawful assembly between the hours of 3 and 5 p.m. on April 25, 1960",riot,riot
The agitation took the form of picketing of Government offices and the residences of Government servants and blocking roads in order to paralyse the administration.,riot,riot
"After this form of agitation continued for some time, the District Magistrate of Manipur promulgated orders under s. 144, Criminal Proce- dure Code on the morning of April 25, 1960 banning public meetings and processions and these orders were proclaimed and communicated to the public through loudspeakers.",riot,riot
